Model,Test_AUC,CV_AUC_Mean,Test_F1,Test_Accuracy
Random Forest,0.8917748917748918,0.8918252501677271,0.9174311926605505,0.8701923076923077
Gradient Boosting,0.9191919191919191,0.9160771209486608,0.9135802469135802,0.8653846153846154
AdaBoost,0.9541847041847042,0.9595274575159365,0.9367088607594937,0.9038461538461539
Logistic Regression,0.8015873015873016,0.8119295058579808,0.7972027972027972,0.7211538461538461
SVM,0.8336940836940836,0.8381875720465866,0.8356164383561644,0.7692307692307693
K-Nearest Neighbors,0.6871091871091871,0.7315167167805182,0.8246153846153846,0.7259615384615384
